1, 80.370350, 4.000330, 0.045720, 0.112538
2, 1.706616, 3.204394, 0.004359, 0.110910
3, 0.607308, 5.183910, 0.006866, 0.046600
4, -0.226737, 6.552075, 0.004685, 0.003341
5, -0.424440, 9.007891, 0.004535, 0.004181
6, -0.534489, 12.585017, 0.004446, 0.002608
7, -1.320139, 19.987382, 0.004417, 0.001107
8, -5.411619, 36.197040, 0.004417, 0.000662
9, -10.165685, 55.598603, 0.004403, 0.003004
10, -14.105174, 71.749493, 0.004406, 0.046219
11, -18.824352, 85.689348, 0.004350, 0.108383
12, -24.387264, 94.800713, 0.004351, 0.108231
13, -28.402525, 102.993731, 0.004351, 0.107690
14, -32.981741, 105.685237, 0.004351, 0.107419
15, -32.369326, 102.194733, 0.004355, 0.107049
16, -4.103688, 37.824743, 0.010458, 0.132177
17, -1.311145, 24.839170, 0.007794, 0.080111
18, 0.162962, 19.058440, 0.008104, 0.068248
19, -1.599481, 22.538928, 0.008417, 0.051511
20, -1.499986, 13.015823, 0.008445, 0.063881
21, -0.522542, 9.182959, 0.008537, 0.041812
22, -1.107989, 9.068687, 0.008400, 0.033264
23, -1.414607, 8.422667, 0.008272, 0.032006
24, -1.699190, 7.451100, 0.008624, 0.030353
25, -1.465264, 3.435408, 0.008859, 0.031793
26, -0.922104, 6.080174, 0.009034, 0.019397
27, -0.888911, 6.665287, 0.008737, 0.014232
28, -0.879914, 7.537903, 0.008596, 0.010961
29, -0.871853, 7.081893, 0.008614, 0.014503
30, -0.999880, 7.352327, 0.008633, 0.010010
31, -1.000486, 7.853127, 0.008604, 0.008204
32, -1.091951, 8.358832, 0.008558, 0.016000
33, -0.568847, 7.387819, 0.008593, 0.008152
34, -0.637716, 3.207533, 0.008785, 0.007189
35, -0.913731, 3.262593, 0.008564, 0.006940
36, -1.409046, 3.841922, 0.008666, 0.006252
37, -1.321789, 4.942183, 0.008518, 0.003744
38, -1.472867, 5.661009, 0.008419, 0.003685
39, -1.186308, 5.907387, 0.008401, 0.003613
40, -1.463998, 1.816266, 0.008311, 0.002612
41, -1.667873, 4.691703, 0.008231, 0.002252
42, -1.787651, 3.594805, 0.008361, 0.002870
43, -2.087172, 2.924113, 0.008163, 0.002821
44, -2.180799, 5.792652, 0.008149, 0.001798
45, -2.221536, 9.295820, 0.008034, 0.001480
46, -2.950084, 9.928247, 0.008059, 0.002325
47, -2.783289, 11.704063, 0.008113, 0.001620
48, -2.902651, 13.087432, 0.007873, 0.001114
49, -3.105216, 13.717208, 0.007890, 0.002108
50, -3.041203, 16.781418, 0.007779, 0.001758
51, -3.176818, 16.331121, 0.007612, 0.001128
52, -3.400122, 15.682770, 0.007578, 0.001443
53, -1.442705, 15.967960, 0.007297, 0.000625
54, -2.660514, 15.185494, 0.007317, 0.000816
55, -3.271834, 15.491702, 0.007133, 0.001971
56, -3.256542, 15.332941, 0.006869, 0.001853
57, -3.332456, 15.755885, 0.006610, 0.000866
58, -3.285534, 15.156581, 0.006481, 0.000892
59, -3.546614, 18.571586, 0.006453, 0.065000
60, -3.167143, 19.524676, 0.006180, 0.008866
61, -3.620036, 20.194434, 0.006045, 0.010384
62, -3.440302, 18.843269, 0.005944, 0.006985
63, -3.432941, 16.016575, 0.005702, 0.004404
64, -1.931083, 16.655995, 0.005800, 0.002825
65, -2.980502, 15.890348, 0.005710, 0.005067
66, -3.125797, 17.210764, 0.005334, 0.003501
67, -3.087017, 18.463925, 0.005149, 0.001479
68, -3.056906, 15.206012, 0.005109, 0.001130
69, -2.950230, 14.765767, 0.004681, 0.000799
70, -2.811561, 16.357219, 0.004479, 0.000642
71, -2.893673, 12.922229, 0.004471, 0.000802
72, -2.871954, 13.089417, 0.004240, 0.000509
73, -2.811049, 13.481717, 0.003998, 0.000670
74, -2.550344, 11.577288, 0.004148, 0.003264
75, -2.772801, 12.546498, 0.003901, 0.000843
76, -2.562164, 14.061029, 0.003764, 0.000676
77, -2.165392, 12.028503, 0.003252, 0.000508
78, -2.033668, 12.384766, 0.002937, 0.000432
79, -1.985233, 11.027677, 0.002890, 0.000592
80, -2.048514, 10.822690, 0.002844, 0.000485
81, -1.953700, 10.134720, 0.002545, 0.000563
82, -1.910857, 11.005925, 0.002368, 0.000714
83, -1.729222, 11.205822, 0.002503, 0.000693
84, -0.939371, 12.143459, 0.002150, 0.000415
85, -1.417568, 10.881382, 0.002109, 0.000349
86, -1.571959, 11.969146, 0.002020, 0.001453
87, -1.568056, 12.005683, 0.001927, 0.000739
88, -1.676783, 11.378273, 0.002344, 0.000849
89, -1.686497, 11.759730, 0.001777, 0.000359
