1, 93.177521, 5.051590, 0.053613, 0.093217
2, 1.466247, 3.953468, 0.009496, 0.085370
3, 1.192712, 3.098911, 0.013801, 0.031505
4, 0.866018, 4.568399, 0.014446, 0.023718
5, -0.253576, 7.629604, 0.009547, 0.012885
6, 0.675877, 9.892461, 0.016015, 0.018702
7, 1.307560, 3.996106, 0.017529, 0.020765
8, 0.498227, 2.593177, 0.012325, 0.027367
9, 0.036912, 3.859588, 0.010947, 0.022587
10, 0.881278, 0.873553, 0.013941, 0.012448
11, 0.413706, -1.288379, 0.010696, 0.010303
12, 0.372460, -1.305898, 0.010032, 0.007827
13, 0.413439, -1.697351, 0.010070, 0.006754
14, 0.401497, -1.989988, 0.009752, 0.004068
15, 0.422265, -2.278093, 0.009620, 0.002154
16, 0.671477, -1.961346, 0.011094, 0.019175
17, 0.346387, -3.207498, 0.009565, 0.015740
18, 0.186943, -4.232770, 0.007623, 0.004040
19, 0.178538, -4.531421, 0.007107, 0.002142
20, 0.254571, -4.882068, 0.007176, 0.001506
21, 0.219640, -5.319997, 0.006538, 0.001996
22, 0.156073, -5.064717, 0.006565, 0.016707
23, 0.128939, -5.742554, 0.005808, 0.000782
24, 0.096404, -5.196741, 0.005527, 0.000514
25, 0.081926, -5.881728, 0.005305, 0.000502
26, -3.293789, 16.570508, 0.007883, 0.063928
27, -0.656208, 27.606019, 0.013260, 0.046993
28, -0.182066, 21.857922, 0.012537, 0.030662
29, -0.097379, 20.407285, 0.011905, 0.016020
30, -0.267382, 18.989337, 0.011782, 0.015127
31, -0.762255, 18.662953, 0.012195, 0.014336
32, -1.020080, 17.144997, 0.012318, 0.016019
33, -1.330944, 20.835932, 0.012762, 0.014395
34, -1.272835, 22.643489, 0.012017, 0.013367
35, -1.218588, 19.404087, 0.012391, 0.011584
36, 0.682542, 12.676782, 0.012091, 0.010309
37, -0.366746, 13.389136, 0.011935, 0.005921
38, -1.261319, 15.556190, 0.011523, 0.006779
39, -0.384745, 16.319848, 0.011358, 0.004685
40, -0.515416, 15.594149, 0.011443, 0.004226
41, -0.311961, 14.645610, 0.010715, 0.003462
42, -0.186725, 12.771623, 0.010754, 0.003143
43, -0.235511, 12.170502, 0.010075, 0.002372
44, -0.244795, 10.672864, 0.009685, 0.002055
45, -0.289598, 9.881701, 0.009401, 0.002081
46, -0.453195, 9.680239, 0.009255, 0.002679
47, 0.234139, 6.982192, 0.009476, 0.004404
48, -0.095178, 6.272129, 0.008637, 0.000880
49, -0.294429, 4.732520, 0.008957, 0.001431
50, -0.522680, 4.668685, 0.008593, 0.001068
51, -0.635859, 5.083268, 0.008744, 0.003376
52, -0.875523, 3.294129, 0.008522, 0.005393
53, -0.980396, 3.190008, 0.008294, 0.004838
54, -1.189924, 4.532499, 0.008311, 0.004537
55, -1.287350, 5.177134, 0.008078, 0.002559
56, -1.747320, 4.084688, 0.007493, 0.003075
57, 0.218489, 5.990350, 0.007121, 0.002330
58, -0.294772, 6.692433, 0.007116, 0.001603
59, -1.084464, 4.526706, 0.007631, 0.005153
60, -1.521385, 3.451381, 0.007125, 0.003507
61, -1.832549, 4.966834, 0.006555, 0.003068
62, -1.592112, 4.538758, 0.007806, 0.018136
63, -1.943391, 3.211733, 0.007586, 0.004967
64, -1.955709, 4.428867, 0.006920, 0.003845
65, -2.219177, 4.555402, 0.006085, 0.003019
66, -2.141458, 5.219078, 0.006258, 0.002419
67, -1.941565, 6.083164, 0.005911, 0.001753
